method,dataset,seed,auc_loss_threshold,acc_threshold_median_loss,auc_logreg_features,n_members,n_nonmembers
fedavg,BZR,540,0.5932,0.6,0.4355555555555556,50,50
fedavg,BZR,204,0.6,0.62,0.4488888888888889,50,50
fedavg,BZR,350,0.5432,0.58,0.5111111111111111,50,50
fedavg,COX2,540,0.5929355281207133,0.5370370370370371,0.6580882352941176,54,54
fedavg,COX2,204,0.46467764060356653,0.4444444444444444,0.5147058823529412,54,54
fedavg,COX2,350,0.4773662551440329,0.46296296296296297,0.5036764705882353,54,54
fedavg,AIDS,540,0.4936552329881657,0.47115384615384615,0.5455709165386584,208,208
fedavg,AIDS,204,0.5016064164201184,0.5096153846153846,0.4813108038914491,208,208
fedavg,AIDS,350,0.46033653846153844,0.47596153846153844,0.49718381976446496,208,208
fedala,BZR,540,0.5532,0.6,0.5422222222222222,50,50
fedala,BZR,204,0.6023999999999999,0.6,0.47555555555555556,50,50
fedala,BZR,350,0.40079999999999993,0.42,0.6399999999999999,50,50
fedala,COX2,540,0.3967764060356653,0.4444444444444444,0.5698529411764706,54,54
fedala,COX2,204,0.6546639231824416,0.6296296296296297,0.46691176470588236,54,54
fedala,COX2,350,0.5775034293552813,0.5370370370370371,0.7058823529411765,54,54
fedala,AIDS,540,0.48557692307692313,0.4951923076923077,0.5161290322580645,208,208
fedala,AIDS,204,0.4738697300295859,0.4951923076923077,0.4818228366615464,208,208
fedala,AIDS,350,0.4893444896449704,0.49038461538461536,0.49539170506912444,208,208
fedala_r,BZR,540,0.49679999999999996,0.52,0.36444444444444446,50,50
fedala_r,BZR,204,0.5464,0.58,0.49777777777777776,50,50
fedala_r,BZR,350,0.5871999999999999,0.6,0.4622222222222222,50,50
fedala_r,COX2,540,0.5202331961591221,0.5,0.5367647058823529,54,54
fedala_r,COX2,204,0.4790809327846365,0.46296296296296297,0.43014705882352944,54,54
fedala_r,COX2,350,0.394718792866941,0.42592592592592593,0.5808823529411765,54,54
fedala_r,AIDS,540,0.489899223372781,0.5048076923076923,0.48438300051203276,208,208
fedala_r,AIDS,204,0.4866054918639053,0.49038461538461536,0.43164362519201227,208,208
fedala_r,AIDS,350,0.480803901627219,0.5048076923076923,0.5038402457757296,208,208
